Date Label,Measure Names,Measure Values
2020-8 (Aug),Daily Conversion/Payer Conversion,0.007605906
2020-9 (Sep),Daily Conversion/Payer Conversion,0.007692193
2020-10 (Oct),Daily Conversion/Payer Conversion,0.007278293
2020-11 (Nov),Daily Conversion/Payer Conversion,0.006894523
2020-12 (Dec),Daily Conversion/Payer Conversion,0.006857477
2021-1 (Jan),Daily Conversion/Payer Conversion,0.007339388
2021-2 (Feb),Daily Conversion/Payer Conversion,0.007234408
2021-3 (Mar),Daily Conversion/Payer Conversion,0.007138468
2021-4 (Apr),Daily Conversion/Payer Conversion,0.007184346
2021-5 (May),Daily Conversion/Payer Conversion,0.007164638
2021-6 (Jun),Daily Conversion/Payer Conversion,0.006930870
2021-7 (Jul),Daily Conversion/Payer Conversion,0.006817066
2021-8 (Aug),Daily Conversion/Payer Conversion,0.006889778
2021-9 (Sep),Daily Conversion/Payer Conversion,0.006638416
2021-10 (Oct),Daily Conversion/Payer Conversion,0.006566336
2021-11 (Nov),Daily Conversion/Payer Conversion,0.006381999
2015-2 (Feb),Total Bookings over SMAU,72.730321593
2015-3 (Mar),Total Bookings over SMAU,28.028337238
2015-4 (Apr),Total Bookings over SMAU,37.974860913
2015-5 (May),Total Bookings over SMAU,24.827988058
2015-6 (Jun),Total Bookings over SMAU,20.688885945
2015-7 (Jul),Total Bookings over SMAU,21.472983459
2015-8 (Aug),Total Bookings over SMAU,21.851529176
2015-9 (Sep),Total Bookings over SMAU,20.003942924
2015-10 (Oct),Total Bookings over SMAU,21.552980763
2015-11 (Nov),Total Bookings over SMAU,20.523008841
2015-12 (Dec),Total Bookings over SMAU,20.668651495
2016-1 (Jan),Total Bookings over SMAU,19.140434386
2016-2 (Feb),Total Bookings over SMAU,20.654564351
2016-3 (Mar),Total Bookings over SMAU,24.749513811
2016-4 (Apr),Total Bookings over SMAU,24.692772215
2016-5 (May),Total Bookings over SMAU,25.432624662
2016-6 (Jun),Total Bookings over SMAU,25.778432612
2016-7 (Jul),Total Bookings over SMAU,25.710725208
2016-8 (Aug),Total Bookings over SMAU,24.273254946
2016-9 (Sep),Total Bookings over SMAU,23.655752986
2016-10 (Oct),Total Bookings over SMAU,23.228137454
2016-11 (Nov),Total Bookings over SMAU,22.479440299
2016-12 (Dec),Total Bookings over SMAU,24.594541207
2017-1 (Jan),Total Bookings over SMAU,22.714411824
2017-2 (Feb),Total Bookings over SMAU,21.171426071
2017-3 (Mar),Total Bookings over SMAU,24.415585666
2017-4 (Apr),Total Bookings over SMAU,23.512970236
2017-5 (May),Total Bookings over SMAU,24.710450977
2017-6 (Jun),Total Bookings over SMAU,24.493433076
2017-7 (Jul),Total Bookings over SMAU,27.031059898
2017-8 (Aug),Total Bookings over SMAU,26.608277788
2017-9 (Sep),Total Bookings over SMAU,26.637263498
2017-10 (Oct),Total Bookings over SMAU,28.977375112
2017-11 (Nov),Total Bookings over SMAU,24.663471474
2017-12 (Dec),Total Bookings over SMAU,26.301850253
2018-1 (Jan),Total Bookings over SMAU,26.670441132
2018-2 (Feb),Total Bookings over SMAU,24.097393415
2018-3 (Mar),Total Bookings over SMAU,25.439598946
2018-4 (Apr),Total Bookings over SMAU,24.182617197
2018-5 (May),Total Bookings over SMAU,24.660249941
2018-6 (Jun),Total Bookings over SMAU,25.924201608
